WKT,class_dbt,nome_dbt,tipo_dbt,dest_ind,sup_mq
"MULTIPOLYGON (((485649.3172 5057850.7472,485647.6852 5057850.1962,485647.2393 5057860.5211,485650.3803 5057860.5481,485650.5603 5057854.8251,485650.2392 5057853.1421,485649.9582 5057852.0172,485649.5992 5057851.2002,485649.3172 5057850.7472)))",ac_ped,Area_di_circolazione_pedonale,su sede stradale,trasporto - pedonale/ciclabile,"28"
"MULTIPOLYGON (((486917.2169 5056485.9435,486913.4556 5056483.8118,486912.5846 5056483.6108,486909.0336 5056485.0848,486906.8226 5056487.1618,486900.2304 5056501.3082,486901.3023 5056501.9782,486907.9041 5056487.7283,486910.3721 5056485.3533,486913.0991 5056484.7873,486915.083 5056485.3263,486916.9321 5056486.5172,486923.1069 5056490.4942,486925.4039 5056491.8062,486931.1768 5056495.0872,486934.0648 5056496.7571,486935.4658 5056497.5401,486943.1297 5056501.9941,486957.1615 5056510.1499,486960.6685 5056511.9079,486971.0044 5056517.8018,486973.9423 5056519.4738,486984.8012 5056525.6657,486995.0901 5056531.5326,486998.325 5056533.3755,487007.3559 5056538.5244,487008.7202 5056539.3022,487009.9328 5056539.9935,487011.5429 5056540.9114,487020.8247 5056546.2033,487023.7857 5056547.8913,487025.6013 5056548.9259,487026.7852 5056549.6006,487028.359 5056550.4975,487034.0924 5056553.7649,487034.9176 5056554.2352,487036.7931 5056555.3064,487037.9886 5056555.9892,487050.0505 5056562.875,487050.5643 5056562.0505,486940.0546 5056498.8868,486917.2169 5056485.9435)))",ac_ped,Area_di_circolazione_pedonale,su sede stradale,trasporto - pedonale/ciclabile,"191"
"MULTIPOLYGON (((486379.576 5055610.6654,486403.5286 5055596.3098,486408.2915 5055591.8301,486411.4401 5055587.7263,486413.9577 5055581.2001,486416.056 5055575.7392,486416.1792 5055568.1022,486415.5936 5055562.8661,486412.5745 5055555.392,486413.9735 5055560.9384,486415.269 5055567.9344,486415.0883 5055575.1019,486414.5221 5055576.9934,486412.7209 5055581.5634,486410.6657 5055587.0218,486408.0968 5055590.3725,486405.014 5055593.1827,486402.3964 5055595.4833,486380.9713 5055608.8861,486379.6869 5055609.5886,486377.4776 5055608.724,486376.784 5055609.2802,486378.5106 5055610.2462,486379.576 5055610.6654)))",ac_ped,Area_di_circolazione_pedonale,su sede stradale,trasporto - pedonale/ciclabile,"75"
"MULTIPOLYGON (((486018.9861 5055560.9518,486020.314 5055560.0328,486021.805 5055557.7818,486030.1528 5055539.202,486060.8912 5055468.8837,486107.7372 5055359.5778,486108.6402 5055355.4978,486108.4472 5055354.1458,486108.1302 5055351.9219,486106.5422 5055349.4299,486103.7872 5055346.5269,486100.8702 5055344.955,486092.4573 5055341.901,486094.1333 5055345.89,486095.3843 5055346.718,486100.3832 5055348.95,486103.6382 5055352.1849,486104.3172 5055356.5929,486102.2543 5055362.4238,486063.8341 5055451.402,486052.9867 5055476.2175,486050.9472 5055481.3124,486050.4351 5055482.5915,486046.8548 5055490.5022,486045.8277 5055492.8604,486033.6727 5055520.3033,486019.216 5055554.6279,486017.729 5055557.9599,486015.156 5055560.2149,486012.6621 5055560.7219,486008.9161 5055560.3999,486002.3321 5055556.7589,486000.2502 5055556.1,485996.5082 5055556.8598,486007.5942 5055563.4828,486010.5081 5055563.9728,486014.5001 5055563.3788,486017.6571 5055561.8708,486018.9861 5055560.9518)))",ac_ped,Area_di_circolazione_pedonale,su sede stradale,trasporto - pedonale/ciclabile,"1053"
"MULTIPOLYGON (((485877.5621 5057498.9108,485874.8109 5057494.4775,485871.8888 5057496.4073,485877.2421 5057503.9618,485877.5621 5057498.9108)))",ac_ped,Area_di_circolazione_pedonale,non in sede stradale,trasporto - pedonale/ciclabile,"24"
"MULTIPOLYGON (((487342.131 5056485.0976,487340.1157 5056484.1248,487338.1446 5056488.2077,487340.1598 5056489.1806,487342.131 5056485.0976)))",ac_ped,Area_di_circolazione_pedonale,non in sede stradale,trasporto - pedonale/ciclabile,"10"
"MULTIPOLYGON (((487268.3202 5057889.7068,487241.3454 5057876.8381,487240.592 5057877.8353,487266.8393 5057890.7998,487268.3202 5057889.7068)))",ac_ped,Area_di_circolazione_pedonale,su sede stradale,trasporto - pedonale/ciclabile,"42"
"MULTIPOLYGON (((485914.614 5058150.5367,485913.185 5058150.4896,485912.8251 5058160.5325,485914.333 5058160.5876,485914.614 5058150.5367)))",ac_ped,Area_di_circolazione_pedonale,su sede stradale,trasporto - pedonale/ciclabile,"15"
"MULTIPOLYGON (((486365.2523 5057984.0284,486362.0658 5057982.0343,486362.3112 5057983.816,486364.4381 5057985.1292,486365.2523 5057984.0284)))",ac_ped,Area_di_circolazione_pedonale,su sede stradale,trasporto - pedonale/ciclabile,"4"
"MULTIPOLYGON (((486526.8493 5057961.9861,486522.4565 5057959.388,486509.0747 5057951.4787,486507.8597 5057953.7245,486525.5932 5057964.1289,486526.8493 5057961.9861)))",ac_ped,Area_di_circolazione_pedonale,non in sede stradale,trasporto - pedonale/ciclabile,"52"
